                                                                                                                                                                                                                                                                
                        1                        2
                   M_star               freq_units
  0.3083260000000000E+034UHZ                      
                        1                        2                        3
                     n_pg                 Re(freq)                 Im(freq)
                     -100  0.4593790855012835E+001  0.0000000000000000E+000
                      -99  0.4620324941777224E+001  0.0000000000000000E+000
                      -98  0.4647355598462688E+001  0.0000000000000000E+000
                      -97  0.4674894322726272E+001  0.0000000000000000E+000
                      -96  0.4702949705413876E+001  0.0000000000000000E+000
                      -95  0.4731532526268393E+001  0.0000000000000000E+000
                      -94  0.4760660407035699E+001  0.0000000000000000E+000
                      -93  0.4790361395373178E+001  0.0000000000000000E+000
                      -92  0.4820673762875478E+001  0.0000000000000000E+000
                      -91  0.4851642009382930E+001  0.0000000000000000E+000
                      -90  0.4883309245702170E+001  0.0000000000000000E+000
                      -89  0.4915708956452251E+001  0.0000000000000000E+000
                      -88  0.4948860794995391E+001  0.0000000000000000E+000
                      -87  0.4982769628754591E+001  0.0000000000000000E+000
                      -86  0.5017428085842471E+001  0.0000000000000000E+000
                      -85  0.5052822523224982E+001  0.0000000000000000E+000
                      -84  0.5088941511921451E+001  0.0000000000000000E+000
                      -83  0.5125785816411781E+001  0.0000000000000000E+000
                      -82  0.5163378504351535E+001  0.0000000000000000E+000
                      -81  0.5201772020885826E+001  0.0000000000000000E+000
                      -80  0.5241048688146985E+001  0.0000000000000000E+000
                      -79  0.5281310439960114E+001  0.0000000000000000E+000
                      -78  0.5322657036222973E+001  0.0000000000000000E+000
                      -77  0.5365164908192820E+001  0.0000000000000000E+000
                      -76  0.5408879957555107E+001  0.0000000000000000E+000
                      -75  0.5453820912137205E+001  0.0000000000000000E+000
                      -74  0.5499991746393944E+001  0.0000000000000000E+000
                      -73  0.5547399427499311E+001  0.0000000000000000E+000
                      -72  0.5596070587256810E+001  0.0000000000000000E+000
                      -71  0.5646066637378674E+001  0.0000000000000000E+000
                      -70  0.5697494479594952E+001  0.0000000000000000E+000
                      -69  0.5750503385311741E+001  0.0000000000000000E+000
                      -68  0.5805261965955785E+001  0.0000000000000000E+000
                      -67  0.5861925861022795E+001  0.0000000000000000E+000
                      -66  0.5920612555053334E+001  0.0000000000000000E+000
                      -65  0.5981394471739213E+001  0.0000000000000000E+000
                      -64  0.6044300577866275E+001  0.0000000000000000E+000
                      -63  0.6109320703735904E+001  0.0000000000000000E+000
                      -62  0.6176414349311520E+001  0.0000000000000000E+000
                      -61  0.6245526949684166E+001  0.0000000000000000E+000
                      -60  0.6316626906002879E+001  0.0000000000000000E+000
                      -59  0.6389777877434391E+001  0.0000000000000000E+000
                      -58  0.6465227763634460E+001  0.0000000000000000E+000
                      -57  0.6543425767075220E+001  0.0000000000000000E+000
                      -56  0.6624904264780902E+001  0.0000000000000000E+000
                      -55  0.6710115106888184E+001  0.0000000000000000E+000
                      -54  0.6799331038537956E+001  0.0000000000000000E+000
                      -53  0.6892646914119035E+001  0.0000000000000000E+000
                      -52  0.6990033735768248E+001  0.0000000000000000E+000
                      -51  0.7091383902588586E+001  0.0000000000000000E+000
                      -50  0.7196559840780441E+001  0.0000000000000000E+000
                      -49  0.7305467330145968E+001  0.0000000000000000E+000
                      -48  0.7418195589216079E+001  0.0000000000000000E+000
                      -47  0.7535212760765928E+001  0.0000000000000000E+000
                      -46  0.7657438101465305E+001  0.0000000000000000E+000
                      -45  0.7786018384273853E+001  0.0000000000000000E+000
                      -44  0.7921926446402302E+001  0.0000000000000000E+000
                      -43  0.8065741923925867E+001  0.0000000000000000E+000
                      -42  0.8217680374465797E+001  0.0000000000000000E+000
                      -41  0.8377591991445273E+001  0.0000000000000000E+000
                      -40  0.8544917427143627E+001  0.0000000000000000E+000
                      -39  0.8718542569662350E+001  0.0000000000000000E+000
                      -38  0.8896898679867126E+001  0.0000000000000000E+000
                      -37  0.9079518062884736E+001  0.0000000000000000E+000
                      -36  0.9269945700033398E+001  0.0000000000000000E+000
                      -35  0.9474743886777990E+001  0.0000000000000000E+000
                      -34  0.9698059613384311E+001  0.0000000000000000E+000
                      -33  0.9940558958240921E+001  0.0000000000000000E+000
                      -32  0.1020171852776095E+002  0.0000000000000000E+000
                      -31  0.1048104692208504E+002  0.0000000000000000E+000
                      -30  0.1077783077959004E+002  0.0000000000000000E+000
                      -29  0.1109038842537365E+002  0.0000000000000000E+000
                      -28  0.1141586000988890E+002  0.0000000000000000E+000
                      -27  0.1175458498828078E+002  0.0000000000000000E+000
                      -26  0.1211707574533092E+002  0.0000000000000000E+000
                      -25  0.1251847179901177E+002  0.0000000000000000E+000
                      -24  0.1296699641186137E+002  0.0000000000000000E+000
                      -23  0.1346518286330138E+002  0.0000000000000000E+000
                      -22  0.1401453952747024E+002  0.0000000000000000E+000
                      -21  0.1461663496637502E+002  0.0000000000000000E+000
                      -20  0.1527229037147678E+002  0.0000000000000000E+000
                      -19  0.1597890883265818E+002  0.0000000000000000E+000
                      -18  0.1672757301261916E+002  0.0000000000000000E+000
                      -17  0.1751681893823267E+002  0.0000000000000000E+000
                      -16  0.1839243941008393E+002  0.0000000000000000E+000
                      -15  0.1942244680124047E+002  0.0000000000000000E+000
                      -14  0.2064379369014744E+002  0.0000000000000000E+000
                      -13  0.2208131915460026E+002  0.0000000000000000E+000
                      -12  0.2377603653791380E+002  0.0000000000000000E+000
                      -11  0.2578798653588636E+002  0.0000000000000000E+000
                      -10  0.2821003504835062E+002  0.0000000000000000E+000
                       -9  0.3118780026612538E+002  0.0000000000000000E+000
                       -8  0.3493962559505203E+002  0.0000000000000000E+000
                       -7  0.3981029873318462E+002  0.0000000000000000E+000
                       -6  0.4628615001872617E+002  0.0000000000000000E+000
                       -5  0.5521073695930829E+002  0.0000000000000000E+000
