                                                                                                                                                                                                                                                                
                        1                        2
                   M_star               freq_units
  0.3182720000000000E+034UHZ                      
                        1                        2                        3
                     n_pg                 Re(freq)                 Im(freq)
                     -100  0.3894949548471516E+001  0.0000000000000000E+000
                      -99  0.3920530140862704E+001  0.0000000000000000E+000
                      -98  0.3946622204834868E+001  0.0000000000000000E+000
                      -97  0.3973250093668693E+001  0.0000000000000000E+000
                      -96  0.4000437396222845E+001  0.0000000000000000E+000
                      -95  0.4028203083348398E+001  0.0000000000000000E+000
                      -94  0.4056559340070423E+001  0.0000000000000000E+000
                      -93  0.4085513584010696E+001  0.0000000000000000E+000
                      -92  0.4115074828578481E+001  0.0000000000000000E+000
                      -91  0.4145261651560680E+001  0.0000000000000000E+000
                      -90  0.4176108406922302E+001  0.0000000000000000E+000
                      -89  0.4207665789480403E+001  0.0000000000000000E+000
                      -88  0.4239993391120777E+001  0.0000000000000000E+000
                      -87  0.4273144741525019E+001  0.0000000000000000E+000
                      -86  0.4307154089704486E+001  0.0000000000000000E+000
                      -85  0.4342032459461763E+001  0.0000000000000000E+000
                      -84  0.4377771630002540E+001  0.0000000000000000E+000
                      -83  0.4414353632507543E+001  0.0000000000000000E+000
                      -82  0.4451764622746216E+001  0.0000000000000000E+000
                      -81  0.4490008497129922E+001  0.0000000000000000E+000
                      -80  0.4529118797134341E+001  0.0000000000000000E+000
                      -79  0.4569162404303698E+001  0.0000000000000000E+000
                      -78  0.4610229322184335E+001  0.0000000000000000E+000
                      -77  0.4652409073841129E+001  0.0000000000000000E+000
                      -76  0.4695764255823437E+001  0.0000000000000000E+000
                      -75  0.4740316881709872E+001  0.0000000000000000E+000
                      -74  0.4786057367591673E+001  0.0000000000000000E+000
                      -73  0.4832973694692305E+001  0.0000000000000000E+000
                      -72  0.4881093042935399E+001  0.0000000000000000E+000
                      -71  0.4930524942550166E+001  0.0000000000000000E+000
                      -70  0.4981470478904321E+001  0.0000000000000000E+000
                      -69  0.5034177287498603E+001  0.0000000000000000E+000
                      -68  0.5088860156531192E+001  0.0000000000000000E+000
                      -67  0.5145645594178915E+001  0.0000000000000000E+000
                      -66  0.5204562286066749E+001  0.0000000000000000E+000
                      -65  0.5265566331073606E+001  0.0000000000000000E+000
                      -64  0.5328576625734195E+001  0.0000000000000000E+000
                      -63  0.5393519848958269E+001  0.0000000000000000E+000
                      -62  0.5460389185903334E+001  0.0000000000000000E+000
                      -61  0.5529308157683796E+001  0.0000000000000000E+000
                      -60  0.5600568369996210E+001  0.0000000000000000E+000
                      -59  0.5674566033372868E+001  0.0000000000000000E+000
                      -58  0.5751662836025431E+001  0.0000000000000000E+000
                      -57  0.5832075249154378E+001  0.0000000000000000E+000
                      -56  0.5915856260353360E+001  0.0000000000000000E+000
                      -55  0.6002926884800295E+001  0.0000000000000000E+000
                      -54  0.6093130604853205E+001  0.0000000000000000E+000
                      -53  0.6186353268813620E+001  0.0000000000000000E+000
                      -52  0.6282710358634712E+001  0.0000000000000000E+000
                      -51  0.6382723568973225E+001  0.0000000000000000E+000
                      -50  0.6487255236133767E+001  0.0000000000000000E+000
                      -49  0.6597173984842016E+001  0.0000000000000000E+000
                      -48  0.6713068249865514E+001  0.0000000000000000E+000
                      -47  0.6835209070103356E+001  0.0000000000000000E+000
                      -46  0.6963649290470197E+001  0.0000000000000000E+000
                      -45  0.7098287833460414E+001  0.0000000000000000E+000
                      -44  0.7238897341839543E+001  0.0000000000000000E+000
                      -43  0.7385148391179142E+001  0.0000000000000000E+000
                      -42  0.7536795095335219E+001  0.0000000000000000E+000
                      -41  0.7694170865309831E+001  0.0000000000000000E+000
                      -40  0.7858658187594036E+001  0.0000000000000000E+000
                      -39  0.8032445828330575E+001  0.0000000000000000E+000
                      -38  0.8217511899843990E+001  0.0000000000000000E+000
                      -37  0.8414955839039100E+001  0.0000000000000000E+000
                      -36  0.8625125911659655E+001  0.0000000000000000E+000
                      -35  0.8847706331512533E+001  0.0000000000000000E+000
                      -34  0.9081528121651917E+001  0.0000000000000000E+000
                      -33  0.9324335383442031E+001  0.0000000000000000E+000
                      -32  0.9574134890496037E+001  0.0000000000000000E+000
                      -31  0.9833736655875088E+001  0.0000000000000000E+000
                      -30  0.1011298717652779E+002  0.0000000000000000E+000
                      -29  0.1042089672511542E+002  0.0000000000000000E+000
                      -28  0.1076040893818302E+002  0.0000000000000000E+000
                      -27  0.1113102704096457E+002  0.0000000000000000E+000
                      -26  0.1153086631656716E+002  0.0000000000000000E+000
                      -25  0.1195553868797757E+002  0.0000000000000000E+000
                      -24  0.1239489219275439E+002  0.0000000000000000E+000
                      -23  0.1283870158648697E+002  0.0000000000000000E+000
                      -22  0.1331006859172936E+002  0.0000000000000000E+000
                      -21  0.1385262078431752E+002  0.0000000000000000E+000
                      -20  0.1447816651505694E+002  0.0000000000000000E+000
                      -19  0.1518394735909730E+002  0.0000000000000000E+000
                      -18  0.1597026648128739E+002  0.0000000000000000E+000
                      -17  0.1683678534478086E+002  0.0000000000000000E+000
                      -16  0.1777329769873676E+002  0.0000000000000000E+000
                      -15  0.1876250015979990E+002  0.0000000000000000E+000
                      -14  0.1984385325574102E+002  0.0000000000000000E+000
                      -13  0.2112970018129899E+002  0.0000000000000000E+000
                      -12  0.2269773272881450E+002  0.0000000000000000E+000
                      -11  0.2459470127957619E+002  0.0000000000000000E+000
                      -10  0.2689629848711402E+002  0.0000000000000000E+000
                       -9  0.2972854939748231E+002  0.0000000000000000E+000
                       -8  0.3333040774357376E+002  0.0000000000000000E+000
                       -7  0.3798323792144763E+002  0.0000000000000000E+000
                       -6  0.4420016411161799E+002  0.0000000000000000E+000
                       -5  0.5278304883865165E+002  0.0000000000000000E+000
